transactionId,referenceNumber,amount,date
TXN-001,REF-001,1000.00,2024-01-15
TXN-002,REF-002,2500.50,2024-01-16
TXN-003,REF-003,500.00,2024-01-17
TXN-004,REF-004,1500.75,2024-01-18
TXN-005,REF-005,3000.00,2024-01-19
TXN-006,REF-006,750.25,2024-01-20
TXN-007,REF-007,2000.00,2024-01-21
TXN-008,REF-008,1200.50,2024-01-22
TXN-009,REF-009,800.00,2024-01-23
TXN-010,REF-010,1800.75,2024-01-24
TXN-011,REF-011,950.00,2024-01-25
TXN-012,REF-012,2200.50,2024-01-26
TXN-013,REF-013,1100.00,2024-01-27
TXN-014,REF-014,2800.75,2024-01-28
TXN-015,REF-015,600.00,2024-01-29
TXN-016,REF-016,1600.50,2024-01-30
TXN-017,REF-017,900.00,2024-01-31
TXN-018,REF-018,2100.75,2024-02-01
TXN-019,REF-019,1400.00,2024-02-02
TXN-020,REF-020,2600.50,2024-02-03
